id,date,startEpoch,title,startTime,endTime,timeZone,durationSec,distanceM,distanceKm,avgSpeedKmh,maxSpeedKmh,avgCadence,maxCadence,avgRiderPowerW,maxRiderPowerW,avgHeartRate,maxHeartRate,elevationGainM,elevationLossM,caloriesBurnt,riderEnergySharePct,co2EmissionsGrams,co2CarEquivalentGrams,co2SavedGrams,absInterventions,normalBrakeEvents,startOdometerM,bikeId,assist_OFF_m,assist_AUTO_m,assist_TOUR+_m,assist_ECO_m,assist_TURBO_m
df20f780-15bc-11f0-be0f-000463adda64,2025-04-10,1744257600,Bike ride,2025-04-10T14:00:00+10:00,2025-04-10T17:00:36+10:00,Australia/Melbourne,2602,15621,15.62,21.62,48.73,73.0,111.0,104.0,382.0,,,0,0,245.0,55,46.863,2593.086,2546.2,,,269,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,14852,0,2,767
b3f8d100-15d9-11f0-be0f-000463adda64,2025-04-10,1744268562,Bike ride,2025-04-10T17:02:42+10:00,2025-04-10T17:38:09+10:00,Australia/Melbourne,2083,11425,11.43,19.75,39.58,71.0,95.0,97.0,216.0,,,0,0,165.0,52,34.275,1896.55,1862.3,,,15890,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,11425,0,0,0
df31ef00-15de-11f0-be0f-000463adda64,2025-04-10,1744270974,Melbourne ride,2025-04-10T17:42:54+10:00,2025-04-10T18:14:28+10:00,Australia/Melbourne,1775,10323,10.32,20.95,35.61,72.0,94.0,107.0,258.0,,,47,60,154.0,59,30.969,1713.618,1682.6,,,27318,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,9894,0,0,432
3e801580-1658-11f0-be0f-000463adda64,2025-04-11,1744346074,Melbourne roundtrip,2025-04-11T14:34:34+10:00,2025-04-11T16:42:09+10:00,Australia/Melbourne,3373,18312,18.31,19.55,37.3,65.0,95.0,92.0,227.0,,,98,98,227.0,49,54.936,3039.792,2984.9,,,37692,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,17852,6,20,434
a996ac00-3203-11f0-be0f-000463adda64,2025-05-16,1747365176,Bike ride,2025-05-16T13:12:56+10:00,2025-05-16T15:46:10+10:00,Australia/Melbourne,8925,52062,52.06,21.01,43.16,76.0,113.0,113.0,410.0,,,0,0,863.0,58,156.186,8642.292,8486.1,,,56066,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,33057,7,17482,1516
da411900-32c9-11f0-be0f-000463adda64,2025-05-17,1747455300,Melbourne roundtrip,2025-05-17T14:15:00+10:00,2025-05-17T15:33:11+10:00,Australia/Melbourne,4475,28692,28.69,23.08,44.54,82.0,109.0,144.0,379.0,,,279,276,497.0,50,86.076,4762.872,4676.8,,,108128,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,16989,0,0,11703
48074680-3397-11f0-be0f-000463adda64,2025-05-18,1747545282,Melbourne ride,2025-05-18T15:14:42+10:00,2025-05-18T15:53:20+10:00,Australia/Melbourne,2215,14409,14.41,23.42,39.510002,77.0,116.0,171.0,426.0,,,88,60,303.0,61,43.227,2391.894,2348.7,,,136820,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,14386,0,0,23
6cb9e900-33ac-11f0-be0f-000463adda64,2025-05-18,1747547849,Melbourne ride,2025-05-18T15:57:29+10:00,2025-05-18T17:28:34+10:00,Australia/Melbourne,2192,14454,14.45,23.74,42.71,81.0,105.0,155.0,363.0,,,78,98,246.0,54,43.362,2399.364,2356.0,,,151231,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,58,0,0,14398
02b64800-346f-11f0-be0f-000463adda64,2025-05-19,1747631234,Melbourne ride,2025-05-19T15:07:14+10:00,2025-05-19T15:37:15+10:00,Australia/Melbourne,1794,11497,11.5,23.07,45.14,77.0,108.0,144.0,317.0,,,70,56,219.0,59,34.491,1908.502,1874.0,0,0,165687,f7194544-9d5d-4232-b67b-5cc9cde613b2,2,11497,0,0,0
57f45880-3473-11f0-be0f-000463adda64,2025-05-19,1747633302,Melbourne ride,2025-05-19T15:41:42+10:00,2025-05-19T16:10:18+10:00,Australia/Melbourne,1710,11520,11.52,24.25,40.55,80.0,104.0,134.0,336.0,,,57,61,187.0,54,34.56,1912.32,1877.8,0,0,177187,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,0,0,0,11523
fab11d80-3778-11f0-be0f-000463adda64,2025-05-23,1747965387,Melbourne roundtrip,2025-05-23T11:56:27+10:00,2025-05-23T12:57:56+10:00,Australia/Melbourne,3658,24565,24.57,24.17,42.28,73.0,95.0,128.0,296.0,,,112,110,444.0,64,73.695,4077.79,4004.1,0,0,188711,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,13736,0,0,10831
048c5c80-381d-11f0-be0f-000463adda64,2025-05-24,1748042490,Bike ride,2025-05-24T09:21:30+10:00,2025-05-24T10:49:18+10:00,Australia/Melbourne,1684,11159,11.16,23.85,54.260002,79.0,103.0,153.0,338.0,,,0,0,209.0,53,33.477,1852.394,1818.9,0,0,213276,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,5777,0,0,5382
6bc50380-3853-11f0-be0f-000463adda64,2025-05-24,1748059811,Melbourne roundtrip,2025-05-24T14:10:11+10:00,2025-05-24T16:18:44+10:00,Australia/Melbourne,6962,45265,45.27,23.41,50.66,79.0,105.0,144.0,455.0,,,389,387,814.0,53,135.795,7513.99,7378.2,0,0,224437,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,26221,0,0,19046
4e576e80-3913-11f0-be0f-000463adda64,2025-05-25,1748142649,Melbourne ride,2025-05-25T13:10:49+10:00,2025-05-25T14:27:22+10:00,Australia/Melbourne,4088,22945,22.95,20.22,38.62,77.0,109.0,156.0,477.0,,,204,171,543.0,70,68.835,3808.87,3740.0,0,0,269765,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,0,0,22945,0
98931c80-3920-11f0-be0f-000463adda64,2025-05-25,1748153925,Melbourne ride,2025-05-25T16:18:45+10:00,2025-05-25T17:19:52+10:00,Australia/Melbourne,3416,22462,22.46,23.67,46.16,80.0,109.0,144.0,368.0,,,151,186,359.0,52,67.386,3728.692,3661.3,0,0,292712,f7194544-9d5d-4232-b67b-5cc9cde613b2,95,7,9,343,22010
06655280-3a9f-11f0-be0f-000463adda64,2025-05-27,1748318407,Melbourne ride,2025-05-27T14:00:07+10:00,2025-05-27T15:15:53+10:00,Australia/Melbourne,4188,26750,26.75,23.0,40.8,79.0,106.0,158.0,509.0,,,145,155,575.0,71,80.25,4440.5,4360.2,0,0,315239,f7194544-9d5d-4232-b67b-5cc9cde613b2,200,5,3,20596,5948
b2b43280-3ab9-11f0-be0f-000463adda64,2025-05-27,1748323075,Melbourne ride,2025-05-27T15:17:55+10:00,2025-05-27T15:56:56+10:00,Australia/Melbourne,2321,14931,14.93,23.16,40.59,81.0,107.0,136.0,336.0,,,75,63,248.0,51,44.793,2478.546,2433.8,0,0,341989,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,0,0,0,14931
fa8e9480-3b61-11f0-be0f-000463adda64,2025-05-28,1748399065,Melbourne ride,2025-05-28T12:24:25+10:00,2025-05-28T12:53:08+10:00,Australia/Melbourne,1651,10813,10.81,23.58,42.58,84.0,119.0,161.0,375.0,,,61,86,233.0,68,32.439,1794.958,1762.5,0,0,356922,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,3,2,7879,2931
e7ce8c80-3b6e-11f0-be0f-000463adda64,2025-05-28,1748400802,Melbourne ride,2025-05-28T12:53:22+10:00,2025-05-28T13:26:30+10:00,Australia/Melbourne,829,5194,5.19,22.56,40.12,84.0,113.0,142.0,342.0,,,65,43,89.0,46,15.582,862.204,846.6,0,0,367738,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,0,0,0,5197
2488b800-3d16-11f0-be0f-000463adda64,2025-05-30,1748582594,Melbourne ride,2025-05-30T15:23:14+10:00,2025-05-30T15:55:18+10:00,Australia/Melbourne,1828,11531,11.53,22.72,43.13,78.0,103.0,154.0,397.0,,,65,51,246.0,73,34.593,1914.146,1879.6,0,0,372932,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,0,0,11531,0
ae3a8480-3d1a-11f0-be0f-000463adda64,2025-05-30,1748584542,Bike ride,2025-05-30T15:55:42+10:00,2025-05-30T17:07:07+10:00,Australia/Melbourne,2591,16458,16.46,22.88,42.3,77.0,109.0,132.0,286.0,,,74,91,306.0,66,49.374,2732.028,2682.7,0,0,384465,f7194544-9d5d-4232-b67b-5cc9cde613b2,0,0,0,12562,3898
96700880-3dcd-11f0-be0f-000463adda64,2025-05-31,1748661402,Melbourne ride,2025-05-31T13:16:42+10:00,2025-05-31T14:26:12+10:00,Australia/Melbourne,3889,22727,22.73,21.05,52.379997,79.0,105.0,149.0,415.0,,,185,174,479.0,68,68.181,3772.682,3704.5,0,0,400925,f7194544-9d5d-4232-b67b-5cc9cde613b2,5,7,4,21478,1235
6463a400-3dd7-11f0-be0f-000463adda64,2025-05-31,1748665671,Melbourne ride,2025-05-31T14:27:51+10:00,2025-05-31T16:58:49+10:00,Australia/Melbourne,8354,51213,51.21,22.09,48.129997,82.0,116.0,132.0,314.0,,,480,484,894.0,55,153.639,8501.358,8347.7,0,0,423654,f7194544-9d5d-4232-b67b-5cc9cde613b2,60,46,50,26643,24416
